caldt,spret
20060417,-0.002936
20060418,0.017268
20060419,0.001975
20060420,0.001117
20060421,-0.000263
20060424,-0.002293
20060425,-0.004814
20060426,0.002912
20060427,0.003428
20060428,0.00013
20060501,-0.00403
20060502,0.006031
20060503,-0.00381
20060504,0.003361
20060505,0.010378
20060508,-0.000732
20060509,0.000369
20060510,-0.001231
20060511,-0.012812
20060512,-0.011258
20060515,0.002776
20060516,-0.001848
20060517,-0.016619
20060518,-0.006312
20060519,0.004042
20060522,-0.003819
20060523,-0.004235
20060524,0.0018
20060525,0.011691
20060526,0.005726
20060530,-0.015789
20060531,0.008296
20060601,0.012175
20060602,0.001818
20060605,-0.017655
20060606,-0.001219
20060607,-0.005803
20060608,0.001489
20060609,-0.004422
20060612,-0.012678
20060613,-0.009978
20060614,0.005326
20060615,0.021335
20060616,-0.003563
20060619,-0.008887
20060620,-0.000005
20060621,0.009863
20060622,-0.005087
20060623,-0.000932
20060626,0.004783
20060627,-0.009043
20060628,0.005636
20060629,0.021357
20060630,-0.001923
20060703,0.007765
20060705,-0.007198
20060706,0.002673
20060707,-0.006819
20060710,0.001586
20060711,0.004022
20060712,-0.010929
20060713,-0.013011
20060714,-0.00501
20060717,-0.001411
20060718,0.001928
20060719,0.018576
20060720,-0.008438
20060721,-0.006877
20060724,0.016571
20060725,0.006597
20060726,-0.000387
20060727,-0.004176
20060728,0.012279
20060731,-0.001447
20060801,-0.004552
20060802,0.006216
20060803,0.001721
20060804,-0.00053
20060807,-0.002774
20060808,-0.003224
20060809,-0.004192
20060810,0.004944
20060811,-0.003833
20060814,0.001336
20060815,0.013633
20060816,0.007743
20060817,0.001772
20060818,0.003713
20060821,-0.003634
20060822,0.000837
20060823,-0.004445
20060824,0.002327
20060825,-0.000648
20060828,0.005286
20060829,0.002227
20060830,0.000458
20060831,-0.000215
20060901,0.005495
20060905,0.001805
20060906,-0.009614
20060907,-0.004711
20060908,0.003973
20060911,0.000631
20060912,0.010463
20060913,0.004132
20060914,-0.001123
20060915,0.00267
20060918,0.00098
20060919,-0.002129
20060920,0.005368
20060921,-0.005158
20060922,-0.002552
20060925,0.008747
20060926,0.007516
20060927,0.000458
20060928,0.001996
20060929,-0.002545
20061002,-0.003423
20061003,0.002116
20061004,0.012186
20061005,0.002456
20061006,-0.002666
20061009,0.000848
20061010,0.002047
20061011,-0.002461
20061012,0.009525
20061013,0.002007
20061016,0.002565
20061017,-0.00371
20061018,0.001525
20061019,0.000659
20061020,0.001424
20061023,0.006464
20061024,0.000292
20061025,0.003276
20061026,0.00514
20061027,-0.008419
20061030,0.000385
20061031,-0.000015
20061101,-0.007139
20061102,-0.000248
20061103,-0.002315
20061106,0.011232
20061107,0.002231
20061108,0.002306
